,date,case_by_day,case_by_time,active_by_day,active_by_time,death_by_day,death_by_time,recovered_by_day,recovered_by_time
296,2021-12-30 00:00:00,468319,54453917.0,0.0,0.0,6547.0,1408822.0,0.0,0.0
297,2021-09-05 00:00:00,512867,21127270.0,296594.0,9453165.0,14840.0,697646.0,0.0,386837.0
298,2021-12-07 00:00:00,297650,45706257.0,0.0,0.0,5968.0,1281442.0,0.0,0.0
299,2021-11-11 00:00:00,196169,38764372.0,0.0,0.0,3028.0,1162008.0,0.0,0.0
300,2022-02-14 00:00:00,1228093,83754436.0,0.0,0.0,2707.0,1553740.0,0.0,0.0
301,2021-10-15 00:00:00,108820,34646022.0,0.0,0.0,4337.0,1089477.0,0.0,386837.0
302,2021-07-20 00:00:00,700597,2867550.0,201519.0,2607413.0,0.0,12354.0,0.0,386837.0
303,2022-02-19 00:00:00,1790172,92293093.0,0.0,0.0,2518.0,1567073.0,0.0,0.0
304,2021-07-31 00:00:00,344300,6898756.0,213411.0,4700564.0,6180.0,69129.0,0.0,386837.0
305,2021-01-29 00:00:00,4228,70505.0,157.0,6894.0,0.0,1982.0,512.0,61175.0
306,2021-07-21 00:00:00,5061,2872611.0,285756.0,2893054.0,0.0,12354.0,0.0,386837.0
307,2021-05-25 00:00:00,16859,247407.0,21291.0,130617.0,0.0,2398.0,0.0,117176.0
308,2021-09-25 00:00:00,357073,30244041.0,0.0,0.0,8762.0,958450.0,0.0,386837.0
309,2021-01-03 00:00:00,395,63435.0,395.0,3567.0,0.0,1982.0,64.0,57531.0
310,2022-03-27 00:00:00,3704848,347271867.0,0.0,0.0,831.0,1663383.0,0.0,0.0
311,2021-10-06 00:00:00,162745,33517357.0,0.0,0.0,5996.0,1043580.0,0.0,386837.0
312,2022-01-15 00:00:00,550402,63068028.0,0.0,0.0,2801.0,1469488.0,0.0,0.0
313,2022-03-24 00:00:00,4640720,330120249.0,0.0,0.0,1257.0,1659448.0,0.0,0.0
314,2021-01-20 00:00:00,248,65470.0,248.0,3332.0,0.0,1982.0,105.0,59845.0
315,2021-02-20 00:00:00,258,100824.0,258.0,29698.0,0.0,1982.0,0.0,68782.0
316,2021-06-12 00:00:00,6586,626721.0,10088.0,283812.0,0.0,3547.0,4240.0,241840.0
317,2021-07-18 00:00:00,151678,2166996.0,314475.0,2097151.0,1489.0,12817.0,0.0,386837.0
318,2021-07-16 00:00:00,380937,1900255.0,86703.0,1709657.0,645.0,11328.0,3240.0,386837.0
319,2022-04-21 00:00:00,484711,407257590.0,0.0,0.0,124.0,1679473.0,0.0,0.0
320,2021-11-16 00:00:00,217540,39782634.0,0.0,0.0,2821.0,1176683.0,0.0,0.0
321,2021-01-01 00:00:00,169,62765.0,184.0,3258.0,0.0,1982.0,0.0,57170.0
322,2021-04-24 00:00:00,149,117792.0,0.0,8460.0,0.0,1982.0,1142.0,105817.0
323,2021-01-25 00:00:00,44,65641.0,0.0,2999.0,0.0,1982.0,390.0,60423.0
324,2022-01-16 00:00:00,521252,63586257.0,0.0,0.0,2144.0,1471632.0,0.0,0.0
325,2021-03-25 00:00:00,148,108431.0,105.0,10115.0,0.0,1982.0,0.0,95683.0
326,2022-04-10 00:00:00,1172107,396097419.0,0.0,0.0,349.0,1675804.0,0.0,0.0
327,2021-08-14 00:00:00,362957,11505571.0,2471446.0,6166317.0,18881.0,289077.0,0.0,386837.0
328,2021-06-18 00:00:00,21215,626827.0,11358.0,354232.0,18.0,3198.0,3582.0,241856.0
329,2021-12-17 00:00:00,325859,49360631.0,0.0,0.0,5719.0,1344427.0,0.0,0.0
330,2021-01-05 00:00:00,287,63858.0,287.0,3953.0,0.0,1982.0,0.0,57531.0
331,2021-09-01 00:00:00,450415,19066517.0,164670.0,8697132.0,43728.0,634781.0,0.0,386837.0
332,2021-06-21 00:00:00,19695,626859.0,0.0,368969.0,259.0,3547.0,17982.0,241856.0
333,2021-06-09 00:00:00,19158,426936.0,17217.0,266409.0,0.0,2914.0,4198.0,158506.0
334,2021-03-24 00:00:00,0,108283.0,0.0,10071.0,0.0,1982.0,825.0,95683.0
335,2021-03-19 00:00:00,62,108139.0,62.0,12428.0,0.0,1982.0,0.0,93096.0
336,2021-08-10 00:00:00,326435,10159466.0,307793.0,6103014.0,20580.0,222515.0,0.0,386837.0
337,2022-03-23 00:00:00,4955499,326011748.0,0.0,0.0,1671.0,1658191.0,0.0,0.0
338,2021-04-20 00:00:00,503,116354.0,503.0,8176.0,0.0,1982.0,403.0,104675.0
339,2021-10-05 00:00:00,141850,33355635.0,0.0,0.0,6931.0,1037584.0,0.0,386837.0
340,2021-02-19 00:00:00,645,100566.0,0.0,29440.0,0.0,1982.0,946.0,68782.0
341,2022-04-24 00:00:00,372914,408508263.0,0.0,0.0,188.0,1680061.0,0.0,0.0
342,2022-01-17 00:00:00,560143,64165222.0,0.0,0.0,3676.0,1475308.0,0.0,0.0
343,2022-01-31 00:00:00,517803,72911741.0,0.0,0.0,2736.0,1518459.0,0.0,0.0
344,2021-04-30 00:00:00,530,120497.0,276.0,10860.0,0.0,1982.0,0.0,105817.0
345,2021-12-23 00:00:00,388939,51575354.0,0.0,0.0,5670.0,1374175.0,0.0,0.0
346,2021-10-30 00:00:00,129220,36756496.0,0.0,0.0,2326.0,1131343.0,0.0,386837.0
347,2021-03-12 00:00:00,415,107412.0,198.0,15977.0,0.0,1982.0,1658.0,88655.0
348,2021-10-25 00:00:00,560508,36148311.0,0.0,0.0,2898.0,1120141.0,0.0,386837.0
349,2021-11-01 00:00:00,135566,37020676.0,0.0,0.0,1891.0,1134938.0,0.0,386837.0
350,2021-09-13 00:00:00,439877,25254133.0,0.0,0.0,15426.0,820081.0,0.0,386837.0
351,2021-10-01 00:00:00,288332,32588353.0,0.0,0.0,10613.0,1010364.0,0.0,386837.0
352,2021-11-07 00:00:00,175779,38868227.0,0.0,0.0,2272.0,1150020.0,0.0,386837.0
353,2021-07-27 00:00:00,418110,5551025.0,416070.0,4572632.0,0.0,27784.0,0.0,386837.0
354,2021-03-08 00:00:00,382,106720.0,382.0,22384.0,0.0,1982.0,0.0,81583.0
355,2021-03-20 00:00:00,12,108151.0,12.0,12440.0,0.0,1982.0,0.0,93096.0
356,2022-03-26 00:00:00,4049243,343192277.0,0.0,0.0,1565.0,1662552.0,0.0,0.0
357,2021-05-02 00:00:00,655,121821.0,655.0,10792.0,0.0,1982.0,0.0,107338.0
358,2021-03-02 00:00:00,473,105039.0,473.0,21907.0,0.0,1982.0,89.0,80774.0
359,2022-02-11 00:00:00,1097079,80300709.0,0.0,0.0,2701.0,1546015.0,0.0,0.0
