,day,daily-case,daily-death,daily-vaccin
0,2021-01-01,9.0,0.0,0.0
1,2021-01-02,10.0,0.0,0.0
2,2021-01-03,8.666666666666666,0.0,0.0
3,2021-01-04,6.222222222222221,0.0,0.0
4,2021-01-05,4.7407407407407405,0.0,0.0
5,2021-01-06,3.2469135802469133,0.0,0.0
6,2021-01-07,3.4156378600823043,0.0,0.0
7,2021-01-08,2.4718792866941013,0.0,0.0
8,2021-01-09,1.4906264288980335,0.0,0.0
9,2021-01-10,1.163542142966011,0.0,0.0
10,2021-01-11,2.38784738098867,0.0,0.0
11,2021-01-12,2.7959491269962236,0.0,0.0
12,2021-01-13,4.9319830423320745,0.0,0.0
13,2021-01-14,6.977327680777358,0.0,0.0
14,2021-01-15,4.325775893592453,0.0,0.0
15,2021-01-16,1.7752586311974843,0.0,0.0
16,2021-01-17,1.2584195437324948,0.0,0.0
17,2021-01-18,1.4194731812441648,0.0,0.0
18,2021-01-19,2.139824393748055,0.0,0.0
19,2021-01-20,2.7132747979160183,0.0,0.0
20,2021-01-21,2.237758265972006,0.0,0.0
21,2021-01-22,1.4125860886573356,0.0,0.0
22,2021-01-23,0.4708620295524452,0.0,0.0
23,2021-01-24,0.4902873431841484,0.0,0.0
24,2021-01-25,1.163429114394716,0.0,0.0
25,2021-01-26,1.0544763714649052,0.0,0.0
26,2021-01-27,47.01815879048831,0.0,0.0
27,2021-01-28,93.33938626349611,0.0,0.0
28,2021-01-29,92.77979542116537,0.0,0.0
29,2021-01-30,84.9265984737218,0.0,0.0
30,2021-01-31,66.6421994912406,0.0,0.0
31,2021-02-01,51.54739983041353,0.0,0.0
32,2021-02-02,44.182466610137844,0.0,0.0
33,2021-02-03,49.39415553671262,0.0,0.0
34,2021-02-04,45.798051845570875,0.0,0.0
35,2021-02-05,24.26601728185696,0.0,0.0
36,2021-02-06,17.75533909395232,0.0,0.0
37,2021-02-07,36.91844636465077,0.0,0.0
38,2021-02-08,40.63948212155026,0.0,0.0
39,2021-02-09,30.54649404051675,0.0,0.0
40,2021-02-10,44.848831346838914,0.0,0.0
41,2021-02-11,38.616277115612974,0.0,0.0
42,2021-02-12,38.20542570520433,0.0,0.0
43,2021-02-13,52.40180856840144,0.0,0.0
44,2021-02-14,52.13393618946714,0.0,0.0
45,2021-02-15,57.044645396489045,0.0,0.0
46,2021-02-16,45.68154846549635,0.0,0.0
47,2021-02-17,28.56051615516545,0.0,0.0
48,2021-02-18,21.853505385055147,0.0,0.0
49,2021-02-19,14.951168461685048,0.0,0.0
50,2021-02-20,12.65038948722835,0.0,0.0
51,2021-02-21,12.88346316240945,0.0,0.0
52,2021-02-22,10.294487720803149,0.0,0.0
53,2021-02-23,10.431495906934382,0.0,0.0
54,2021-02-24,10.143831968978127,0.0,0.0
55,2021-02-25,8.047943989659375,0.0,0.0
56,2021-02-26,6.682647996553125,0.0,0.0
57,2021-02-27,10.227549332184376,0.0,0.0
58,2021-02-28,9.409183110728124,0.0,0.0
59,2021-03-01,13.136394370242707,0.0,0.0
60,2021-03-02,18.045464790080903,0.0,0.0
61,2021-03-03,11.681821596693633,0.0,0.0
62,2021-03-04,7.89394053223121,0.0,0.0
63,2021-03-05,6.96464684407707,0.0,0.0
64,2021-03-06,8.654882281359024,0.0,0.0
65,2021-03-07,11.21829409378634,0.0,125.66666666666667
66,2021-03-08,8.739431364595447,0.0,215.8888888888889
67,2021-03-09,4.579810454865149,0.0,264.6296296296296
68,2021-03-10,3.8599368182883835,0.0,442.5432098765432
69,2021-03-11,8.953312272762794,0.0,1578.514403292181
70,2021-03-12,10.317770757587597,0.0,3344.838134430727
71,2021-03-13,4.772590252529199,0.0,3233.9460448102423
72,2021-03-14,2.924196750843066,0.0,3019.3153482700804
73,2021-03-15,2.974732250281022,0.0,4036.43844942336
74,2021-03-16,4.324910750093674,0.0,4075.1461498077865
75,2021-03-17,4.774970250031225,0.0,3642.0487166025955
76,2021-03-18,2.9249900833437414,0.0,3519.6829055341987
77,2021-03-19,1.6416633611145806,0.0,2778.227635178066
78,2021-03-20,0.8805544537048601,0.0,1899.4092117260218
79,2021-03-21,1.2935181512349534,0.0,1873.469737242007
80,2021-03-22,1.4311727170783177,0.0,1964.4899124140022
81,2021-03-23,0.8103909056927726,0.0,1899.8299708046673
82,2021-03-24,1.6034636352309242,0.0,2071.276656934889
83,2021-03-25,3.867821211743641,0.0,2084.7588856449634
84,2021-03-26,3.6226070705812137,0.0,1379.2529618816545
85,2021-03-27,2.8742023568604047,0.0,839.7509872938848
86,2021-03-28,3.624734118953468,0.0,992.583662431295
87,2021-03-29,2.2082447063178225,0.0,1369.5278874770984
88,2021-03-30,3.7360815687726077,0.0,1565.5092958256994
89,2021-03-31,9.578693856257535,0.0,1508.5030986085665
90,2021-04-01,9.526231285419179,0.0,1285.5010328695223
91,2021-04-02,6.17541042847306,0.0,801.5003442898409
92,2021-04-03,5.72513680949102,0.0,374.50011476328035
93,2021-04-04,5.575045603163673,0.0,302.5000382544268
94,2021-04-05,7.858348534387891,0.0,614.1666794181423
95,2021-04-06,10.61944951146263,0.0,965.7222264727142
96,2021-04-07,10.539816503820877,0.0,1123.907408824238
97,2021-04-08,12.179938834606958,0.0,1336.6358029414125
98,2021-04-09,12.726646278202319,0.0,1075.211934313804
99,2021-04-10,7.575548759400772,0.0,485.4039781046013
100,2021-04-11,7.191849586466923,0.0,495.4679927015338
101,2021-04-12,9.730616528822308,0.0,738.8226642338446
102,2021-04-13,13.576872176274103,0.0,1172.6075547446148
